Name,Department,Label,Title,Category
Fabio Battaglia,Social Policy,Academic staff,Dr,Research
Liam Beiser-McGrath,Social Policy,Academic staff,Dr,Research
Thomas Biegert,Social Policy,Academic staff,Dr,Research
Tania Burchardt,Social Policy,Academic staff,Dr,Research
Leonidas Cheliotis,Social Policy,Academic staff,Dr,Research
Shuang Chen,Social Policy,Academic staff,Dr,Research
Sonia Exley,Social Policy,Academic staff,Dr,Research
Timo Fleckenstein,Social Policy,Academic staff,Professor,Research
Fiona Gogescu,Social Policy,Academic staff,,Research
Mobarak Hossain,Social Policy,Academic staff,Dr,Research
Armine Ishkanian,Social Policy,Academic staff,Professor,Research
Johann Koehler,Social Policy,Academic staff,Dr,Research
Sunil Kumar,Social Policy,Academic staff,Dr,Research
Youngcho Lee,Social Policy,Academic staff,Dr,Research
Zahid Mumtaz,Social Policy,Academic staff,Dr,Research
Tim Newburn,Social Policy,Academic staff,Professor,Research
Adam Oliver,Social Policy,Academic staff,Professor,Research
Berkay Özcan,Social Policy,Academic staff,Professor,Research
Robtel Neajai Pailey,Social Policy,Academic staff,Dr,Research
Coretta Phillips,Social Policy,Academic staff,Professor,Research
Lucinda Platt,Social Policy,Academic staff,Professor,Research
Virgi Sari,Social Policy,Academic staff,Dr,Research
Hakan Seckinelgin,Social Policy,Academic staff,Dr,Research
Almudena Sevilla,Social Policy,Academic staff,Professor,Research
Michael Shiner,Social Policy,Academic staff,Dr,Research
Isabel Shutes,Social Policy,Academic staff,Dr,Research
Kitty Stewart,Social Policy,Academic staff,Dr,Research
Margaux Suteau,Social Policy,Academic staff,Dr,Research
Iva Tasseva,Social Policy,Academic staff,Dr,Research
Anne West,Social Policy,Academic staff,Professor,Research
Francisco H. G. Ferreira,Social Policy,Affiliated staff,Professor,Research
Damian Roberts,Social Policy,Professional services staff,,Non-Research
Clare Gorman,Social Policy,Professional services staff,,Non-Research
Sevilay Erdogan,Social Policy,Professional services staff,,Non-Research
Adrian Knight,Social Policy,Professional services staff,,Non-Research
Joe Macdonald,Social Policy,Professional services staff,Dr,Non-Research
Nathaniel Ocquaye,Social Policy,Professional services staff,,Non-Research
Maria Schlegel,Social Policy,Professional services staff,,Non-Research
Craig Stewart,Social Policy,Professional services staff,Dr,Non-Research
Jake Watkins,Social Policy,Professional services staff,,Non-Research
Hao Wu,Social Policy,Professional services staff,Dr,Non-Research
Raegan Booth,Social Policy,Research Staff and Clusters,,Research
Pilar Cuevas-Ruiz,Social Policy,Research Staff and Clusters,,Research
Ritika Arora,Social Policy,Guest teachers,,Non-Research
Chiara Chiavaroli,Social Policy,Guest teachers,,Non-Research
Joel Chong,Social Policy,Guest teachers,,Non-Research
Robert Falconer,Social Policy,Guest teachers,,Non-Research
Maria Karagiannidou,Social Policy,Guest teachers,,Non-Research
Roni Küppers,Social Policy,Guest teachers,,Non-Research
Julie Lespinasse,Social Policy,Guest teachers,,Non-Research
Joaquin Mayora Camus,Social Policy,Guest teachers,,Non-Research
Manna Mostaghim,Social Policy,Guest teachers,,Non-Research
Waqar Ahmad,Social Policy,Visiting Staff,Professor,Research
Piera Bello,Social Policy,Visiting Staff,Dr,Research
Mike Brewer,Social Policy,Visiting Staff,Dr,Research
Tymofii Brik,Social Policy,Visiting Staff,Dr,Research
Francesca Foliano,Social Policy,Visiting Staff,Dr,Research
Paul Frijters,Social Policy,Visiting Staff,Professor,Research
Cecilia Garcia Penalosa,Social Policy,Visiting Staff,Professor,Research
Tony Hockley,Social Policy,Visiting Staff,Dr,Research
Vanessa Hughes,Social Policy,Visiting Staff,Dr,Research
Ching Leong,Social Policy,Visiting Staff,Dr,Research
Chiara Orsini,Social Policy,Visiting Staff,Dr,Research
Deborah Outhwaite,Social Policy,Visiting Staff,Dr,Research
Lynette Rawlings,Social Policy,Visiting Staff,Dr,Research
Ismael Sanz,Social Policy,Visiting Staff,Professor,Research
John Carrier,Social Policy,Emeritus,Dr,Research
Hartley Dean,Social Policy,Emeritus,Professor,Research
David Downes,Social Policy,Emeritus,Professor,Research
Howard Glennerster,Social Policy,Emeritus,Professor,Research
Jane Lewis,Social Policy,Emeritus,Professor,Research
Eileen Munro,Social Policy,Emeritus,Professor,Research
Michael Murphy,Social Policy,Emeritus,Professor,Research
David Piachaud,Social Policy,Emeritus,Professor,Research
Anne Power,Social Policy,Emeritus,Professor,Research
Gail Wilson,Social Policy,Emeritus,Dr,Research
Rita Astuti,Anthropology,Academic staff,Professor,Research
Mukulika Banerjee,Anthropology,Academic staff,Dr,Research
"Laura Bear MBE, FBA",Anthropology,Academic staff,Professor,Research
Fenella Cannell,Anthropology,Academic staff,Dr,Research
Clara Devlieger,Anthropology,Academic staff,Dr,Research
Yazan Doughan,Anthropology,Academic staff,Dr,Research
Katy Gardner,Anthropology,Academic staff,Professor,Research
,Anthropology,Academic staff,Professor,Research
Deborah James FBA,Anthropology,Academic staff,,Research
Nick Long,Anthropology,Academic staff,Dr,Research
Mathijs Pelkmans,Anthropology,Academic staff,Professor,Research
Michael W. Scott,Anthropology,Academic staff,Professor,Research
Alpa Shah,Anthropology,Academic staff,Professor,Research
Hans Steinmüller,Anthropology,Academic staff,Dr,Research
Harry Walker,Anthropology,Academic staff,Dr,Research
Gisa Weszkalnys,Anthropology,Academic staff,Dr,Research
Mareike Winchell,Anthropology,Academic staff,Dr,Research
Yanina Hinrichsen,Anthropology,Administrative staff,,Non-Research
Chloe Davies,Anthropology,Administrative staff,,Non-Research
Megan Garry-Evans,Anthropology,Administrative staff,,Non-Research
Tomas Hinrichsen,Anthropology,Administrative staff,,Non-Research
James Johnston,Anthropology,Administrative staff,,Non-Research
Renata Todd,Anthropology,Administrative staff,,Non-Research
Anjana Bala,Anthropology,Research and LSE Fellows,Dr,Research
Gareth Breen,Anthropology,Research and LSE Fellows,Dr,Research
Jan David Hauck,Anthropology,Research and LSE Fellows,Dr,Research
